neighbours_threshold,points_threshold,coop_rate
7,36,0.7522222222222222
7,37,0.7366666666666667
7,38,0.7444444444444445
7,39,0.7744444444444445
7,40,0.7533333333333333
8,1,0.6909569444444444
8,2,0.6373152777777777
8,3,0.6204263888888889
8,4,0.6346069444444444
8,5,0.6751916666666666
8,6,0.7214277777777778
8,7,0.7557666666666667
8,8,0.7664125
8,9,0.7575291666666667
8,10,0.7754277777777778
8,11,0.7665694444444444
8,12,0.7810708333333334
8,13,0.7377638888888889
8,14,0.75
8,15,0.7277777777777777
8,16,0.7433333333333333
8,17,0.7466666666666667
8,18,0.7433333333333333
8,19,0.77
8,20,0.7455555555555555
8,21,0.7477777777777778
8,22,0.7633333333333333
8,23,0.7655555555555555
8,24,0.7344444444444445
8,25,0.7755555555555556
8,26,0.7611111111111111
8,27,0.7488888888888889
8,28,0.74
8,29,0.7688888888888888
8,30,0.7488888888888889
8,31,0.7511111111111111
8,32,0.7511111111111111
8,33,0.7566666666666667
8,34,0.7533333333333333
8,35,0.7622222222222222
8,36,0.74
8,37,0.7522222222222222
8,38,0.7455555555555555
8,39,0.7522222222222222
8,40,0.7333333333333333
